unordered_configuration	bootstrap_replicates
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_2,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_2,P14_CTRL_O2_2	13
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_1|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_1|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_2	10
P7:Normoxia:P7_CTRL_RA_2,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_2,P14_CTRL_O2_2	10
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_1|P7:Hyperoxia:P7_CTRL_O2_2,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_2,P14_CTRL_O2_2	9
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_1|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_1	9
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_1|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_2,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_2	8
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_1|P7:Hyperoxia:P7_CTRL_O2_2,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_2,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_2	8
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_2,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_2,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_2	8
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_2,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_2,P14_CTRL_O2_2	7
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_2,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_1|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_1	7
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_2,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_1	7
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_2,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_2,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_2,P14_CTRL_O2_2	7
P7:Normoxia:P7_CTRL_RA_2,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_2,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_1	7
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_1|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_1|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_2	6
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_1|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_1|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_1	6
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_1|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_1|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_2	6
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_1|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_2,P14_CTRL_O2_2	6
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_1|P14:Normoxia:P14_CTRL_RA_2,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_1	6
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_1|P14:Hyperoxia:P14_CTRL_O2_2,P14_CTRL_O2_2	6
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_2,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_1|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_2	6
P7:Normoxia:P7_CTRL_RA_2,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_2,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_1	6
P7:Normoxia:P7_CTRL_RA_2,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_2,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_2	6
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_1|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_1|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_1	5
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_1|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_1|P14:Hyperoxia:P14_CTRL_O2_2,P14_CTRL_O2_2	5
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_2,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_1	5
P7:Normoxia:P7_CTRL_RA_2,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_1|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_2	5
P7:Normoxia:P7_CTRL_RA_2,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_2,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_2,P14_CTRL_O2_2	5
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_1|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_1|P14:Normoxia:P14_CTRL_RA_2,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_2	4
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_1|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_1	4
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_1|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_2,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_1	4
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_1|P7:Hyperoxia:P7_CTRL_O2_2,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_1	4
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_1|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_2,P14_CTRL_O2_2	4
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_1|P14:Normoxia:P14_CTRL_RA_2,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_2,P14_CTRL_O2_2	4
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_2,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_1|P14:Hyperoxia:P14_CTRL_O2_2,P14_CTRL_O2_2	4
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_2,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_2,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_1	4
P7:Normoxia:P7_CTRL_RA_2,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_1|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_1|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_2	4
P7:Normoxia:P7_CTRL_RA_2,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_1|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_1|P14:Hyperoxia:P14_CTRL_O2_2,P14_CTRL_O2_2	4
P7:Normoxia:P7_CTRL_RA_2,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_1|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_2	4
P7:Normoxia:P7_CTRL_RA_2,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_1	4
P7:Normoxia:P7_CTRL_RA_2,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_2,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_2	4
P7:Normoxia:P7_CTRL_RA_2,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_2,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_1|P14:Hyperoxia:P14_CTRL_O2_2,P14_CTRL_O2_2	4
P7:Normoxia:P7_CTRL_RA_2,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_2,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_2,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_1	4
P7:Normoxia:P7_CTRL_RA_2,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_2,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_2,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_2	4
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_1|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_1|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_2,P14_CTRL_O2_2	3
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_1|P7:Hyperoxia:P7_CTRL_O2_2,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_1|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_2	3
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_1|P7:Hyperoxia:P7_CTRL_O2_2,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_2,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_2,P14_CTRL_O2_2	3
P7:Normoxia:P7_CTRL_RA_2,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_1|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_1|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_1	3
P7:Normoxia:P7_CTRL_RA_2,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_1|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_2,P14_CTRL_O2_2	3
P7:Normoxia:P7_CTRL_RA_2,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_1|P14:Hyperoxia:P14_CTRL_O2_2,P14_CTRL_O2_2	3
P7:Normoxia:P7_CTRL_RA_2,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_2,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_2,P14_CTRL_O2_2	3
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_1|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_1|P14:Normoxia:P14_CTRL_RA_2,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_1	2
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_1|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_2,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_2,P14_CTRL_O2_2	2
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_1|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_1|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_1	2
P7:Normoxia:P7_CTRL_RA_2,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_1|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_1	2
P7:Normoxia:P7_CTRL_RA_2,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_1|P14:Normoxia:P14_CTRL_RA_2,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_1	2
P7:Normoxia:P7_CTRL_RA_2,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_1|P14:Normoxia:P14_CTRL_RA_2,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_2	2
P7:Normoxia:P7_CTRL_RA_2,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_1|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_1	2
P7:Normoxia:P7_CTRL_RA_2,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_2,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_1|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_1	2
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_1|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_1|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_1|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_1	1
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_1|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_1|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_1|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_2	1
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_1|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_1|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_1|P14:Hyperoxia:P14_CTRL_O2_2,P14_CTRL_O2_2	1
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_1|P7:Hyperoxia:P7_CTRL_O2_1,P7_CTRL_O2_1|P14:Normoxia:P14_CTRL_RA_2,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_2,P14_CTRL_O2_2	1
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_1|P7:Hyperoxia:P7_CTRL_O2_2,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_1|P14:Hyperoxia:P14_CTRL_O2_1,P14_CTRL_O2_1	1
P7:Normoxia:P7_CTRL_RA_1,P7_CTRL_RA_1|P7:Hyperoxia:P7_CTRL_O2_2,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_1,P14_CTRL_RA_1|P14:Hyperoxia:P14_CTRL_O2_2,P14_CTRL_O2_2	1
P7:Normoxia:P7_CTRL_RA_2,P7_CTRL_RA_2|P7:Hyperoxia:P7_CTRL_O2_2,P7_CTRL_O2_2|P14:Normoxia:P14_CTRL_RA_2,P14_CTRL_RA_2|P14:Hyperoxia:P14_CTRL_O2_2,P14_CTRL_O2_2	1
